Student_ID,Gender,Lunch_Type,Test_Preparation,Study_Time_per_Week,Daily_Sleep_Duration,Math_Score,Reading_Score,Writing_Score,Internet_Access,Race/Ethnicity_group_A,Race/Ethnicity_group_B,Race/Ethnicity_group_C,Race/Ethnicity_group_D,Race/Ethnicity_group_E,Parental_Education_associate_degree,Parental_Education_bachelor_degree,Parental_Education_high_school,Parental_Education_master_degree,Parental_Education_some_college,School_Type_international,School_Type_private,School_Type_public
5474,0,1,1,10,7,67,83,81,0,0,1,0,0,0,0,0,0,0,1,0,0,1
4285,0,1,0,12,7,70,70,78,0,0,1,0,0,0,0,0,0,1,0,0,0,1
4319,0,1,0,9,7,70,65,55,1,0,0,0,0,1,1,0,0,0,0,0,0,1
1107,0,0,1,14,7,44,58,83,1,0,0,0,1,0,0,0,0,0,1,0,0,1
2301,0,1,1,18,6,72,94,67,1,0,1,0,0,0,0,0,0,1,0,0,0,1
5024,1,1,0,11,6,72,71,88,1,0,0,0,1,0,0,1,0,0,0,0,0,1
4163,1,1,0,7,7,78,62,64,1,0,0,1,0,0,0,0,1,0,0,0,0,1
965,0,1,1,18,9,86,63,54,1,0,0,0,1,0,0,0,0,0,1,0,1,0
4132,1,1,1,0,7,95,72,50,1,0,0,0,1,0,1,0,0,0,0,0,1,0
694,1,0,0,8,9,71,88,73,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1018,0,1,1,13,7,74,75,89,1,0,1,0,0,0,0,0,1,0,0,0,0,1
6042,0,1,1,7,9,64,83,45,0,0,0,0,1,0,0,0,0,1,0,0,0,1
4088,0,1,1,14,8,68,88,57,1,0,0,0,0,1,0,1,0,0,0,0,0,1
4533,0,1,1,12,7,49,62,58,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2496,0,0,1,12,4,81,86,66,1,0,0,1,0,0,1,0,0,0,0,0,0,1
1352,1,1,0,4,6,43,82,51,1,0,0,0,1,0,0,0,0,0,1,0,0,1
509,0,1,0,9,5,74,86,83,1,0,0,0,0,1,0,0,1,0,0,0,0,1
644,0,0,0,3,6,58,74,49,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2350,1,1,0,11,6,66,63,90,1,0,1,0,0,0,1,0,0,0,0,0,1,0
5200,0,0,1,12,7,80,53,71,1,0,0,1,0,0,1,0,0,0,0,1,0,0
5240,0,1,0,17,9,98,74,53,1,0,0,0,0,1,0,0,1,0,0,0,1,0
1820,1,1,1,15,5,61,53,80,1,0,0,0,1,0,0,1,0,0,0,0,0,1
6566,0,0,1,11,8,79,65,85,0,0,0,0,0,1,0,1,0,0,0,0,1,0
3502,0,1,1,10,7,25,98,87,1,1,0,0,0,0,0,1,0,0,0,0,1,0
306,0,0,0,7,7,70,57,56,1,0,1,0,0,0,0,0,0,1,0,0,0,1
6621,0,1,1,1,8,71,71,77,1,0,0,1,0,0,1,0,0,0,0,1,0,0
2192,0,0,0,7,5,61,76,92,1,0,1,0,0,0,0,0,1,0,0,0,0,1
5646,1,1,0,1,8,73,75,64,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6149,1,0,0,12,6,100,67,66,1,0,0,1,0,0,0,0,0,1,0,0,0,1
6678,1,0,0,6,7,71,58,100,1,0,1,0,0,0,0,1,0,0,0,0,0,1
6685,1,1,0,9,6,70,60,73,0,0,1,0,0,0,0,0,1,0,0,0,1,0
3038,1,1,0,9,6,44,82,65,1,0,0,1,0,0,0,0,1,0,0,0,0,1
631,1,0,0,9,6,37,63,84,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2695,1,1,0,13,8,75,63,73,1,0,0,0,1,0,0,1,0,0,0,1,0,0
1370,1,1,0,9,7,77,91,70,1,0,1,0,0,0,0,0,1,0,0,0,0,1
4692,1,1,1,9,8,84,80,71,0,0,0,1,0,0,0,1,0,0,0,1,0,0
6163,1,1,1,13,7,60,71,84,1,0,0,1,0,0,0,1,0,0,0,0,0,1
4816,1,1,0,9,5,58,75,90,1,0,0,0,0,1,0,0,1,0,0,0,1,0
5672,1,0,0,8,8,74,76,80,1,0,0,0,0,1,0,1,0,0,0,0,0,1
3648,1,0,1,11,7,66,38,59,0,0,0,1,0,0,0,0,0,0,1,1,0,0
6427,1,1,0,10,7,65,81,77,1,0,0,1,0,0,1,0,0,0,0,0,0,1
132,0,1,1,17,7,81,71,75,1,0,0,0,0,1,0,0,0,1,0,0,1,0
5514,0,1,1,16,7,78,65,68,1,0,1,0,0,0,0,0,0,0,1,0,0,1
6242,1,1,1,11,5,77,90,46,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6246,0,0,0,10,6,75,56,64,1,0,0,0,1,0,0,0,0,0,1,0,0,1
3497,0,0,0,9,8,64,63,100,1,0,0,0,0,1,0,1,0,0,0,0,0,1
4001,1,1,0,10,5,84,71,80,1,0,0,0,0,1,1,0,0,0,0,0,0,1
6631,1,1,0,1,8,76,87,67,1,0,0,0,0,1,0,0,1,0,0,0,0,1
5674,0,1,1,11,8,63,71,42,0,0,1,0,0,0,0,1,0,0,0,0,1,0
1568,1,1,0,5,7,81,95,62,1,0,0,1,0,0,0,0,1,0,0,0,1,0
6074,0,1,1,17,8,86,65,60,1,0,0,0,1,0,0,0,1,0,0,0,0,1
6172,1,1,0,8,6,84,94,53,1,1,0,0,0,0,0,0,0,0,1,1,0,0
2851,1,1,0,17,7,96,57,70,1,0,0,0,0,1,0,0,1,0,0,0,0,1
3388,1,0,0,15,10,83,69,62,1,0,1,0,0,0,1,0,0,0,0,1,0,0
692,1,0,0,10,5,72,61,55,1,0,0,1,0,0,0,0,1,0,0,0,0,1
3899,1,1,0,18,6,85,90,95,1,0,0,0,0,1,0,0,0,1,0,0,1,0
2706,1,1,0,9,8,88,53,90,1,0,0,0,1,0,0,1,0,0,0,0,0,1
1875,0,1,1,18,7,55,67,76,0,0,0,0,1,0,0,0,0,0,1,1,0,0
5841,0,1,1,10,7,69,21,77,1,0,0,0,0,1,0,0,0,1,0,0,0,1
1024,1,1,0,11,8,68,64,78,1,1,0,0,0,0,1,0,0,0,0,1,0,0
2655,0,0,0,12,7,58,79,83,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1949,0,1,1,11,7,96,70,75,1,1,0,0,0,0,0,0,1,0,0,0,0,1
3631,0,1,1,15,6,48,90,73,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1251,0,1,0,3,7,64,86,71,1,0,0,0,0,1,0,0,1,0,0,0,1,0
485,0,0,0,7,6,55,56,63,1,1,0,0,0,0,0,0,1,0,0,0,0,1
2456,1,1,1,5,6,46,40,86,1,0,1,0,0,0,0,0,0,0,1,0,0,1
4774,0,1,0,17,7,84,82,57,1,0,0,1,0,0,0,0,1,0,0,0,1,0
4000,0,0,1,7,8,88,58,50,1,0,0,1,0,0,0,0,0,0,1,0,1,0
4450,0,1,1,13,6,60,62,66,1,0,0,0,0,1,1,0,0,0,0,0,1,0
963,1,1,0,12,7,69,65,97,1,1,0,0,0,0,1,0,0,0,0,0,0,1
91,1,0,1,2,6,64,71,67,1,0,0,1,0,0,0,0,0,1,0,0,0,1
3633,0,1,0,12,9,47,67,70,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6368,1,1,1,10,5,86,74,80,1,0,0,0,0,1,1,0,0,0,0,1,0,0
6441,0,0,1,11,8,73,31,71,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1834,1,1,0,3,6,96,68,61,1,0,0,1,0,0,0,0,0,0,1,0,1,0
4409,0,1,0,9,7,71,72,64,1,0,1,0,0,0,0,0,1,0,0,0,0,1
6837,1,1,1,11,4,80,71,66,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1981,1,1,0,12,6,71,60,61,1,0,1,0,0,0,0,1,0,0,0,0,0,1
1351,0,1,0,18,6,78,79,80,1,0,0,0,1,0,0,0,1,0,0,1,0,0
900,1,0,0,4,6,91,71,49,1,0,1,0,0,0,0,0,0,0,1,0,0,1
2530,0,1,0,10,7,67,84,83,1,0,1,0,0,0,0,0,1,0,0,0,0,1
3706,0,1,0,11,7,81,59,98,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1532,0,0,1,0,7,79,50,71,1,0,0,0,1,0,0,0,1,0,0,0,0,1
605,1,1,1,13,7,81,77,71,1,0,0,0,0,1,0,0,0,1,0,0,0,1
4742,0,0,0,9,9,71,51,79,1,0,0,1,0,0,0,0,0,0,1,0,0,1
2345,0,1,0,10,6,87,60,83,1,0,0,1,0,0,0,0,0,0,1,0,0,1
1630,1,1,0,13,4,86,85,69,1,0,0,0,0,1,0,0,1,0,0,0,1,0
4804,0,0,0,7,5,46,71,68,1,0,1,0,0,0,0,0,1,0,0,0,0,1
5031,1,0,1,12,7,91,75,77,1,0,0,0,1,0,0,0,0,0,1,0,0,1
4785,1,1,1,10,7,64,69,69,1,0,0,0,0,1,1,0,0,0,0,0,0,1
5637,1,1,1,13,8,75,65,77,1,0,0,0,1,0,0,1,0,0,0,0,0,1
5014,1,1,1,12,7,77,47,71,1,0,0,0,0,1,0,0,1,0,0,0,0,1
1724,0,1,0,9,6,81,58,57,1,0,1,0,0,0,0,0,1,0,0,0,0,1
5285,0,1,0,13,6,86,61,57,1,0,0,1,0,0,0,1,0,0,0,0,1,0
4318,0,1,0,0,7,84,53,75,1,0,0,0,0,1,0,1,0,0,0,0,0,1
5288,1,1,0,12,6,69,77,94,1,0,0,0,0,1,0,0,1,0,0,0,1,0
3349,1,0,1,6,6,62,48,60,1,0,0,0,1,0,0,0,1,0,0,0,1,0
6606,0,1,0,11,8,91,81,54,1,0,1,0,0,0,0,0,1,0,0,0,0,1
3037,1,0,0,5,7,31,53,93,1,0,0,1,0,0,0,1,0,0,0,0,0,1
1483,0,1,1,5,5,57,70,60,1,1,0,0,0,0,0,0,0,1,0,0,0,1
1768,0,0,0,8,7,68,56,61,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1973,0,0,1,10,5,69,96,88,1,0,0,0,1,0,0,0,0,0,1,0,0,1
1978,1,1,1,6,7,73,91,86,1,0,0,1,0,0,0,1,0,0,0,0,0,1
4025,0,0,0,14,8,80,57,76,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1417,1,1,0,6,8,57,71,70,1,0,0,0,0,1,1,0,0,0,0,0,0,1
4641,0,1,0,12,5,75,24,59,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2469,1,1,1,9,7,81,56,81,1,0,0,0,0,1,0,0,1,0,0,0,0,1
6272,0,1,0,2,6,45,72,83,1,0,0,0,0,1,0,0,1,0,0,0,0,1
5215,0,0,0,8,8,81,68,74,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6316,1,0,0,9,7,69,68,55,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1148,0,1,0,12,7,85,74,50,0,0,0,1,0,0,0,1,0,0,0,0,0,1
5884,0,1,0,12,8,62,78,50,1,0,0,0,0,1,0,0,1,0,0,0,1,0
516,1,1,0,10,7,52,62,49,0,0,0,0,0,1,1,0,0,0,0,0,1,0
6940,1,1,1,11,6,65,53,45,1,0,1,0,0,0,0,0,1,0,0,1,0,0
2949,1,0,1,15,9,58,71,85,1,1,0,0,0,0,0,0,1,0,0,0,0,1
2954,1,0,0,8,7,52,74,52,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3560,0,1,0,11,6,76,73,69,1,0,0,1,0,0,0,0,1,0,0,0,0,1
6803,0,1,0,12,7,61,66,86,1,0,1,0,0,0,0,0,0,0,1,0,1,0
6215,1,1,0,4,6,44,62,70,1,0,1,0,0,0,0,0,1,0,0,0,0,1
6929,0,1,0,12,6,76,100,71,1,0,0,1,0,0,0,0,0,0,1,0,0,1
4391,1,0,0,10,5,84,65,63,1,0,1,0,0,0,0,0,0,0,1,0,0,1
926,0,0,1,12,8,52,82,74,0,1,0,0,0,0,0,0,0,1,0,0,0,1
3943,0,0,0,8,7,58,71,58,1,1,0,0,0,0,0,0,0,0,1,0,0,1
3606,1,1,1,11,8,73,65,61,1,1,0,0,0,0,0,1,0,0,0,0,0,1
219,0,1,0,8,7,69,64,72,1,0,1,0,0,0,0,0,0,0,1,0,0,1
5281,0,1,0,11,7,55,83,57,0,0,0,0,0,1,0,1,0,0,0,0,0,1
4097,1,1,1,11,7,85,72,62,1,0,0,0,1,0,0,0,0,1,0,0,0,1
2443,1,0,0,5,5,78,70,90,0,0,0,1,0,0,0,0,1,0,0,0,0,1
3395,1,1,0,7,4,52,79,70,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2488,1,1,0,19,7,70,84,44,1,0,0,1,0,0,0,1,0,0,0,0,0,1
822,1,1,1,13,7,91,69,70,0,1,0,0,0,0,0,0,1,0,0,0,0,1
3322,0,0,1,16,6,74,57,94,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2537,0,1,0,12,7,86,71,54,1,0,0,1,0,0,0,0,1,0,0,1,0,0
1050,1,1,1,10,7,73,65,71,0,0,0,0,0,1,0,0,1,0,0,1,0,0
6294,0,1,0,15,6,62,58,62,1,0,0,1,0,0,0,0,0,1,0,0,0,1
3232,1,1,1,14,9,54,71,44,1,0,1,0,0,0,0,0,0,1,0,0,0,1
1926,1,1,1,6,9,69,66,55,1,1,0,0,0,0,0,0,1,0,0,0,0,1
6263,1,1,0,7,7,71,65,50,1,0,0,1,0,0,1,0,0,0,0,0,0,1
5275,1,1,0,16,8,70,81,66,0,0,1,0,0,0,0,0,1,0,0,0,0,1
4194,0,1,0,9,6,75,71,73,1,0,0,0,1,0,0,1,0,0,0,0,0,1
425,0,0,1,6,6,72,80,100,1,0,0,1,0,0,0,0,0,0,1,0,1,0
3762,0,0,0,4,6,69,72,86,1,0,0,1,0,0,0,1,0,0,0,0,0,1
4656,0,0,1,6,6,47,66,65,1,1,0,0,0,0,1,0,0,0,0,1,0,0
6907,0,1,0,3,8,69,99,73,0,0,1,0,0,0,0,0,0,0,1,0,0,1
124,0,1,1,5,7,65,47,62,0,0,0,1,0,0,1,0,0,0,0,0,1,0
3878,1,1,0,9,7,56,82,78,1,0,0,0,1,0,1,0,0,0,0,0,1,0
1135,1,1,1,15,7,69,71,73,0,0,0,0,0,1,0,0,1,0,0,0,0,1
1053,0,1,1,11,6,56,48,66,1,0,0,1,0,0,1,0,0,0,0,0,0,1
2955,1,1,0,9,6,83,100,69,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1624,0,1,0,13,7,64,55,78,1,0,0,0,0,1,0,0,1,0,0,0,0,1
3229,1,1,0,8,7,87,48,65,1,0,0,1,0,0,0,0,1,0,0,0,0,1
3381,0,1,1,8,6,84,88,45,1,0,0,0,0,1,0,0,0,0,1,0,1,0
3649,1,1,1,15,8,57,60,68,1,0,0,0,0,1,0,1,0,0,0,0,0,1
6162,1,1,0,12,5,71,79,71,1,0,0,0,0,1,0,0,1,0,0,0,0,1
5559,0,1,1,3,8,54,77,56,1,0,1,0,0,0,0,0,1,0,0,0,0,1
338,1,1,0,5,7,49,71,68,1,0,0,1,0,0,1,0,0,0,0,0,1,0
855,0,1,0,19,9,69,67,91,1,0,0,0,1,0,0,0,1,0,0,0,0,1
5787,0,1,0,5,5,55,62,66,1,0,0,1,0,0,0,1,0,0,0,0,0,1
6762,0,1,1,5,3,77,91,70,1,0,1,0,0,0,0,0,0,0,1,0,0,1
5991,1,1,0,9,6,80,70,76,1,0,1,0,0,0,0,0,0,0,1,0,0,1
603,0,0,1,11,10,59,63,71,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1254,0,1,0,9,7,46,71,71,1,0,0,1,0,0,1,0,0,0,0,0,1,0
7000,1,0,1,16,7,66,80,69,1,0,1,0,0,0,0,0,1,0,0,0,0,1
3283,1,1,0,12,8,78,76,33,1,0,0,0,0,1,0,0,0,1,0,0,1,0
6439,1,0,1,11,8,83,70,79,0,0,0,1,0,0,1,0,0,0,0,0,0,1
301,0,0,1,0,9,66,77,97,1,0,0,0,0,1,0,0,1,0,0,0,0,1
5127,1,1,1,5,6,69,67,53,1,0,1,0,0,0,1,0,0,0,0,0,0,1
1339,0,1,0,13,7,76,60,71,1,0,0,0,0,1,0,1,0,0,0,0,0,1
4564,0,1,0,5,7,75,42,49,1,0,0,0,1,0,0,1,0,0,0,0,0,1
271,1,1,0,6,7,71,65,79,1,0,0,0,0,1,0,1,0,0,0,0,0,1
6701,0,1,0,5,8,59,62,71,1,0,1,0,0,0,0,0,0,0,1,0,1,0
1134,1,1,1,9,7,24,71,71,1,0,0,0,1,0,0,0,1,0,0,0,0,1
2774,1,0,1,9,7,66,80,93,1,1,0,0,0,0,0,0,1,0,0,0,0,1
4667,1,0,0,6,7,40,63,57,1,0,0,1,0,0,0,0,1,0,0,0,1,0
202,0,0,1,14,8,60,72,79,1,0,0,0,0,1,1,0,0,0,0,0,0,1
4639,1,0,1,20,5,59,51,54,1,0,0,0,1,0,0,0,0,0,1,0,1,0
73,1,1,0,12,7,100,52,62,1,0,0,0,0,1,0,0,0,0,1,0,0,1
112,0,1,1,23,5,68,43,48,1,0,0,1,0,0,0,0,0,0,1,0,1,0
1771,1,1,1,11,7,55,99,81,1,0,0,0,1,0,0,0,0,0,1,0,0,1
6055,0,1,1,13,6,83,29,59,1,0,0,1,0,0,1,0,0,0,0,0,0,1
2486,1,0,0,14,9,70,65,77,0,0,0,1,0,0,0,0,0,0,1,0,0,1
2757,0,1,0,5,8,82,80,64,1,0,1,0,0,0,0,0,1,0,0,0,0,1
2127,1,0,1,12,8,73,59,63,1,0,0,0,0,1,0,1,0,0,0,0,0,1
2143,1,1,1,7,6,100,87,76,1,0,0,1,0,0,0,0,0,0,1,0,0,1
6890,0,0,1,9,9,77,91,42,1,0,0,1,0,0,0,0,1,0,0,1,0,0
2800,1,1,1,9,7,54,82,38,1,0,1,0,0,0,0,0,1,0,0,0,0,1
6944,1,1,0,6,7,89,60,82,1,0,1,0,0,0,0,0,0,0,1,0,0,1
6657,0,1,0,8,5,36,89,62,0,0,1,0,0,0,0,0,0,1,0,0,0,1
2255,0,1,0,22,8,87,85,78,1,0,0,0,0,1,0,0,0,0,1,0,0,1
3394,1,0,1,7,8,49,90,70,1,0,0,0,1,0,0,1,0,0,0,0,0,1
5069,1,1,1,9,7,64,74,59,1,0,0,0,1,0,0,0,1,0,0,0,0,1
78,1,1,1,15,6,78,80,68,1,0,1,0,0,0,0,0,1,0,0,1,0,0
1276,1,1,1,12,7,71,80,79,1,1,0,0,0,0,0,1,0,0,0,0,1,0
2044,0,1,0,11,8,48,76,51,1,0,0,0,0,1,1,0,0,0,0,0,1,0
5601,0,0,1,9,6,80,87,71,1,1,0,0,0,0,0,1,0,0,0,0,1,0
2712,0,1,0,15,6,78,71,91,1,1,0,0,0,0,0,0,0,0,1,0,0,1
5255,1,1,0,10,7,51,71,84,0,0,0,0,1,0,0,1,0,0,0,1,0,0
3742,1,1,0,11,6,66,55,50,1,0,0,0,0,1,0,0,0,0,1,0,1,0
6024,0,1,1,14,6,79,88,65,1,0,1,0,0,0,0,0,1,0,0,0,0,1
3123,0,0,0,5,7,86,75,66,1,1,0,0,0,0,0,0,1,0,0,0,1,0
2056,1,1,0,7,8,90,92,71,1,0,0,1,0,0,0,0,0,0,1,1,0,0
2786,0,0,1,10,8,82,57,80,1,0,1,0,0,0,0,0,0,1,0,0,0,1
475,1,1,1,6,7,78,61,74,1,0,0,0,0,1,0,0,1,0,0,0,0,1
6781,1,1,0,11,4,72,65,56,1,0,0,0,0,1,0,1,0,0,0,0,0,1
1414,0,1,1,8,7,53,100,71,1,1,0,0,0,0,0,1,0,0,0,1,0,0
701,1,0,0,5,6,41,60,54,1,0,0,1,0,0,0,0,1,0,0,0,1,0
5470,1,1,1,20,8,68,85,50,1,0,0,0,0,1,0,0,0,0,1,0,0,1
4287,0,1,0,15,8,82,77,71,1,0,0,1,0,0,0,0,1,0,0,0,0,1
1599,0,1,0,6,9,74,78,56,1,1,0,0,0,0,0,0,0,0,1,0,0,1
1849,1,1,1,17,8,63,65,59,1,0,0,1,0,0,0,0,1,0,0,1,0,0
5796,0,1,1,11,5,70,80,81,1,0,0,0,0,1,0,0,0,0,1,0,0,1
3835,0,1,1,9,7,63,55,58,1,0,0,0,0,1,0,0,1,0,0,0,0,1
3068,0,0,1,6,7,95,70,71,1,1,0,0,0,0,1,0,0,0,0,1,0,0
5479,1,1,1,15,7,59,76,79,1,0,0,1,0,0,0,0,1,0,0,0,1,0
6002,1,1,0,11,5,73,51,55,1,0,0,0,1,0,0,0,1,0,0,0,0,1
4294,1,0,1,7,4,77,88,70,0,0,0,0,1,0,0,0,1,0,0,0,1,0
4259,0,1,0,12,8,85,65,48,0,0,1,0,0,0,0,0,1,0,0,0,0,1
2978,1,1,0,16,8,76,75,71,1,0,1,0,0,0,0,0,0,0,1,0,0,1
2559,0,0,1,6,8,91,54,54,1,0,0,1,0,0,0,0,1,0,0,0,0,1
528,0,0,0,15,7,72,62,77,1,0,0,1,0,0,0,1,0,0,0,0,0,1
4047,1,1,0,7,6,100,70,82,1,1,0,0,0,0,0,0,1,0,0,0,0,1
3320,1,1,0,8,7,72,77,81,1,0,1,0,0,0,0,0,0,0,1,0,0,1
4066,0,0,1,6,8,55,73,100,1,1,0,0,0,0,1,0,0,0,0,0,1,0
5387,0,1,0,4,7,76,78,62,1,0,0,0,1,0,0,0,1,0,0,1,0,0
1570,1,1,1,3,7,70,51,78,1,0,0,1,0,0,0,0,1,0,0,0,0,1
3764,1,0,1,8,9,63,88,78,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1614,0,1,0,15,5,66,62,74,1,0,1,0,0,0,1,0,0,0,0,0,1,0
3796,0,1,1,7,5,65,84,71,1,0,1,0,0,0,1,0,0,0,0,1,0,0
5435,0,1,1,15,4,62,71,68,1,0,0,1,0,0,0,1,0,0,0,0,0,1
9,1,1,0,3,7,63,66,78,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5145,1,1,1,10,7,81,74,60,1,1,0,0,0,0,0,0,1,0,0,1,0,0
2638,1,1,1,7,8,46,96,57,1,0,0,0,1,0,1,0,0,0,0,0,0,1
942,1,0,1,4,7,66,76,68,0,0,1,0,0,0,1,0,0,0,0,0,0,1
2230,0,1,0,13,5,58,69,62,1,0,0,0,0,1,0,0,1,0,0,0,0,1
2290,0,1,0,12,7,60,78,77,1,1,0,0,0,0,0,1,0,0,0,0,0,1
4149,0,1,0,7,9,50,59,55,1,0,1,0,0,0,1,0,0,0,0,0,0,1
5448,0,1,1,9,4,95,71,63,0,0,0,1,0,0,0,0,0,0,1,0,0,1
355,0,0,0,8,5,69,100,81,1,0,0,0,1,0,0,1,0,0,0,0,0,1
4806,1,0,1,13,4,67,71,92,1,0,0,0,1,0,0,0,1,0,0,0,0,1
836,1,0,0,9,6,68,90,67,1,0,1,0,0,0,0,0,0,0,1,0,0,1
